id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50084854,Sunny apartment close to city center - built 2020,114552874,Mads,,Gamle Oslo,59.91719,10.79548,Entire home/apt,1214,3,8,2022-07-25,0.54,1,56,4,
50087299,Det Rosa Huset,273912083,Silje,,St. Hanshaugen,59.92202,10.74268,Entire home/apt,4500,4,7,2021-09-19,0.47,2,0,0,
50088049,Campervan for the adventurous,263397967,Robert,,Gamle Oslo,59.90739,10.78477,Entire home/apt,950,3,14,2022-09-12,0.96,2,112,9,
50095249,City centre top-floor triplex bright&spacious,18532358,Hallvard,,Sentrum,59.91127,10.74472,Entire home/apt,1400,4,22,2022-09-19,1.46,1,0,17,
50099274,1 room apartment close to public transport,102996772,Sigurd,,Ullern,59.93006,10.66153,Entire home/apt,599,1,11,2022-01-02,0.69,2,0,1,
50101142,Authentic Oslo experience close to Vigeland park,35130145,Nikolai,,Frogner,59.92266,10.70312,Entire home/apt,669,2,4,2021-07-18,0.27,1,0,0,
50112146,Den perfekte ferieleiligheten med takterasse.,385250150,Lena,,Sagene,59.93536,10.76909,Entire home/apt,1900,5,2,2021-07-26,0.13,2,0,0,
50112760,1 bedroom apartment close to city center,16286084,Oda,,Frogner,59.92445,10.72723,Entire home/apt,686,2,4,2022-07-18,1.43,1,2,4,
50116301,Spacious Apartment with a great location,27464420,Carl-Johan,,St. Hanshaugen,59.92813,10.75016,Entire home/apt,1200,3,9,2022-07-31,0.61,1,1,7,
50142321,Moderne toppleilighet med stor privat takterrasse,404635889,Anette,,Gamle Oslo,59.90241,10.77568,Entire home/apt,793,2,9,2021-08-20,0.60,1,0,0,
50151969,"Lys og fin 3-romsleilighet, kort vei til sentrum",17197851,Christine,,Bjerke,59.94161,10.80147,Entire home/apt,1150,3,2,2021-07-27,0.14,1,0,0,
50162088,Two bedroom apartment for four,342044253,Forenom APT,,Gamle Oslo,59.9185,10.76491,Entire home/apt,1550,7,3,2022-04-27,0.26,8,0,3,
50189324,Room in unique design loft,3421854,Goro,,Alna,59.91725,10.81548,Private room,579,14,5,2022-05-04,0.33,2,26,2,
50197101,Fantastisk utsikt i rolig område 5 min til sentrum,43929162,Per-Christian,,Nordstrand,59.9014,10.79684,Entire home/apt,1400,2,25,2022-07-31,1.67,3,98,17,
50203784,Stor og barnevennlig leilighet med parkeringsplass,3556091,Marianne,,Bjerke,59.93505,10.82741,Entire home/apt,2000,2,4,2022-08-07,0.27,1,19,2,
50203827,Cosy and central aparment by the royal  palace,107686266,Kristine,,Frogner,59.9213,10.73474,Entire home/apt,1567,2,6,2022-09-20,1.49,1,306,6,
50205619,Volkswagen Campervan,80084653,Camille,,St. Hanshaugen,59.91832,10.74935,Entire home/apt,1500,2,2,2022-08-15,0.61,1,90,2,
50206536,"Trivelig rekkehus, med gratis parkering.",43792643,Sonja,,Søndre Nordstrand,59.83856,10.79274,Entire home/apt,750,3,4,2021-08-13,0.27,1,0,0,
50206781,Supersentral stor funkisleilighet 145 m2 med 5 sov,9676443,Tale Sølvberg,,Frogner,59.931847,10.722284,Entire home/apt,2500,3,21,2022-08-15,1.39,1,0,11,
50211490,Newly renovated house in charming part of Oslo,5274691,Anniken,,Grünerløkka,59.92453,10.77032,Entire home/apt,2300,3,9,2022-07-29,0.62,1,0,7,
50222622,"Large, exclusive 3 bedroom apt. in Majorstuen",36429760,Jens Petter,,Frogner,59.9298,10.72496,Entire home/apt,2500,3,12,2022-09-08,0.84,1,23,9,
50224432,Stor leilighet i Oslo med gratis garasjeparkering.,273353144,Wenche,,Søndre Nordstrand,59.83272,10.79447,Entire home/apt,1200,6,4,2022-08-07,0.27,1,284,2,
