id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53206723,Hotel Parker Camera Matrimoniale nel Cuore di Roma,146317254,Blam'S Crew,,I Centro Storico,41.89215,12.5129,Private room,312,1,10,2022-06-29,1.00,9,226,10,
53291719,Casa Amerigo,48515025,Andrea,,I Centro Storico,41.88208,12.47646,Entire home/apt,60,2,19,2022-08-22,1.89,1,36,19,
53292270,La Maison Rome,91652812,Roberto,,VIII Appia Antica,41.86851,12.49146,Private room,33,2,1,2022-04-30,0.22,4,284,1,
53099839,Vatican Meadows,100803515,Livia,,I Centro Storico,41.91862,12.45652,Entire home/apt,139,2,30,2022-08-28,2.98,2,155,30,
53100337,TRASTEVERE SUNNY SIDE,136592569,Yodit,,I Centro Storico,41.88912,12.47605,Private room,120,3,0,,,1,197,0,
53207111,New Opening! Lovely apartment in Trastevere (Apt1),424668529,Roberto,,I Centro Storico,41.887894,12.46972,Entire home/apt,566,4,5,2022-08-23,0.56,4,125,5,
53101142,U@Vatican2 - Luxury Suite Central & Close to Metro,429662870,Filippo Maria,,I Centro Storico,41.90895,12.46033,Entire home/apt,91,2,3,2022-09-07,0.35,1,332,3,15357
53294682,My Space In Rome  -NEW- Black Door - SPAGNA,431468296,Mariella,,I Centro Storico,41.90765,12.47982,Entire home/apt,197,3,2,2022-07-05,0.57,4,160,2,
53299801,La Maisone Rome,91652812,Roberto,,VIII Appia Antica,41.86839,12.49123,Private room,38,2,19,2022-09-06,1.97,4,343,19,0932309234325
53207325,New Opening! Cozy apartment in Trastevere (Apt 2),424668529,Roberto,,I Centro Storico,41.887894,12.46972,Entire home/apt,566,4,1,2022-05-24,0.27,4,133,1,
53102788,Apt  vicino al Ponte della Musica,2349263,Barbara,,II Parioli/Nomentano,41.92884,12.46087,Entire home/apt,50,60,0,,,2,315,0,
53207449,New Opening! Lovely apartment in Trastevere (Apt3),424668529,Roberto,,I Centro Storico,41.88738,12.47051,Entire home/apt,566,4,2,2022-01-17,0.22,4,130,2,
53102983,"La Casa di Nonno, Ostiense San Paolo",370877434,Sonia,,VIII Appia Antica,41.854053,12.479486,Entire home/apt,130,5,5,2022-06-28,0.58,1,61,5,ATR-011090-8
53300698,AGATA VATICAN STYLISH SELF CHECKIN APARTMENT,15020403,Agata,,XIII Aurelia,41.89889,12.45396,Entire home/apt,106,3,41,2022-09-08,7.11,7,57,41,
53209722,Central Classy True Historical Home Trastevere 3BD,1315726,Gloria,,I Centro Storico,41.88861,12.47296,Entire home/apt,168,14,6,2022-07-21,0.71,1,11,6,
53304061,ST. JOHN APARTMENT  2BR/2BTH,21960026,Germana,,VII San Giovanni/Cinecittà,41.8803,12.50072,Entire home/apt,120,3,28,2022-08-17,3.18,12,128,28,
53304266,Ecce Roma - Camera privata per 4 persone,418088677,Daniele,,I Centro Storico,41.89836,12.50002,Private room,197,1,2,2022-08-01,0.23,9,223,2,
53103876,Casa Giova: bilocale con balcone al Gianicolo,2404597,Jacopo,,XII Monte Verde,41.88316,12.46001,Entire home/apt,111,2,8,2022-08-26,0.96,2,332,8,17420
53104022,Interno 43,313512922,Tiziana,,II Parioli/Nomentano,41.898521,12.516624,Entire home/apt,50,2,14,2022-09-06,5.32,2,310,14,QA/2021/33153
53104131,JMartins Camera Quadrupla vicino Fontana di Trevi,126782257,Joice,,I Centro Storico,41.9057,12.49371,Private room,161,2,0,,,6,314,0,
53210070,Hotel Espana Camera Matrimoniale nel cuore di Roma,146317254,Blam'S Crew,,I Centro Storico,41.89058,12.51148,Private room,239,1,16,2022-06-28,1.61,9,357,16,
53104452,Camere vista cupola in piazza del risorgimento,48168101,Silvia,,I Centro Storico,41.90583,12.45819,Private room,70,1,0,,,10,0,0,
